,Player,Tm,season17_18
311,Denzel Valentine,CHI,2186400.00 
312,Josh Smith,NOP,2183934.00 
313,Kyle Anderson,SAS,2151704.00 
314,D.J. Wilson,MIL,2135040.00 
315,Matt Barnes,SAC,2133542.00 
316,Derrick Rose,UTA,2116955.00 
317,Marreese Speights,ORL,2116955.00 
318,Michael Beasley,NYK,2116955.00 
319,Aaron Brooks,MIN,2116955.00 
320,Luc Mbah a Moute,HOU,2116955.00 
321,JaVale McGee,GSW,2116955.00 
322,Jeff Green,CLE,2116955.00 
323,Tony Allen,CHI,2116955.00 
324,Damien Wilkins,IND,2116955.00 
325,Omri Casspi,GSW,2106470.00 
326,Mario Chalmers,MEM,2106407.00 
327,Darius Miller,NOP,2100000.00 
328,Kelly Oubre,WAS,2093040.00 
329,Juan Hernangomez,DEN,2076840.00 
330,T.J. Leaf,IND,2028360.00 
331,Tim Frazier,WAS,2000000.00 
332,Anthony Tolliver,SAC,2000000.00 
333,Terry Rozier,BOS,1988520.00 
334,Luke Babbitt,MIA,1974159.00 
335,John Collins,ATL,1936920.00 
336,Anderson Varejao,POR,1913345.00 
337,Rashad Vaughn,NOP,1889040.00 
338,Tim Duncan,SAS,1881250.00 
339,Wade Baldwin,MEM,1874400.00 
340,Larry Sanders,MIL,1865547.00 
341,Harry Giles,SAC,1859400.00 
342,Sam Dekker,LAC,1794600.00 
343,Terrance Ferguson,OKC,1785000.00 
344,Henry Ellenson,DET,1780800.00 
345,Eric Moreland,DET,1739333.00 
346,Jerian Grant,CHI,1713840.00 
347,Jarrett Allen,BRK,1713720.00 
348,Mike Scott,WAS,1709538.00 
349,Tyler Zeller,MIL,1709538.00 
350,Quincy Acy,BRK,1709538.00 
351,Malik Beasley,DEN,1700640.00 
352,Mike Dunleavy,ATL,1662500.00 
353,Delon Wright,TOR,1645200.00 
354,OG Anunoby,TOR,1645200.00 
355,Ante Zizic,CLE,1645200.00 
356,Caris LeVert,BRK,1632480.00 
357,Justin Anderson,PHI,1579440.00 
358,Tyler Lydon,DEN,1579440.00 
359,Jeff Withey,DAL,1577320.00 
360,Ian Clark,NOP,1577230.00 
361,Shabazz Muhammad,MIN,1577230.00 
362,Willie Reed,CHI,1577230.00 
363,DeAndre Liggins,MIL,1577230.00 
364,DeAndre' Bembry,ATL,1567200.00 
365,Joffrey Lauvergne,SAS,1524305.00 
366,Jerami Grant,OKC,1524305.00 
367,Johnny O'Bryant,NYK,1524305.00 
368,Tyler Ennis,LAL,1524305.00 
369,Julyan Stone,CHO,1524305.00 
370,Sean Kilpatrick,BRK,1524305.00 
371,Joe Harris,BRK,1524305.00 
372,Spencer Dinwiddie,BRK,1524305.00 
373,Shane Larkin,BOS,1524305.00 
374,Glenn Robinson,IND,1524305.00 
375,Bobby Brown,HOU,1524305.00 
376,Bobby Portis,CHI,1516320.00 
377,Malachi Richardson,TOR,1504560.00 
378,Arron Afflalo,SAC,1500000.00 
379,Norman Powell,TOR,1471382.00 
380,Josh Richardson,MIA,1471382.00 
381,Rondae Hollis-Jefferson,BRK,1471382.00 
382,Tyus Jones,MIN,1471382.00 
383,Jarell Martin,MEM,1471382.00 
384,Larry Nance,CLE,1471382.00 
385,Troy Williams,HOU,1471382.00 
386,Chris McCullough,WAS,1471382.00 
387,Raul Neto,UTA,1471382.00 
388,Pat Connaughton,POR,1471382.00 
389,Richaun Holmes,PHI,1471382.00 
390,T.J. McConnell,PHI,1471382.00 
391,Josh Huestis,OKC,1471382.00 
392,Jordan Mickey,MIA,1471382.00 
393,Montrezl Harrell,LAC,1471382.00 
394,Joe Young,IND,1471382.00 
395,Kevon Looney,GSW,1471382.00 
396,Nikola Jokic,DEN,1471382.00 
397,Salah Mejri,DAL,1471382.00 
398,Caleb Swanigan,POR,1465920.00 
399,Furkan Korkmaz,PHI,1465920.00 
400,Willy Hernangomez,CHO,1435750.00 
401,Kyle Kuzma,LAL,1423560.00 
402,Tony Bradley,UTA,1414920.00 
403,Derrick White,SAS,1404600.00 
404,Josh Hart,LAL,1394520.00 
405,Timothe Luwawu-Cabarrot,PHI,1386600.00 
406,Kevin Martin,MIN,1360305.00 
407,Brice Johnson,MEM,1331160.00 
408,Pascal Siakam,TOR,1312611.00 
409,Dejounte Murray,SAS,1312611.00 
410,Skal Labissiere,SAC,1312611.00 
411,A.J. Hammons,MIA,1312611.00 
412,Deyonta Davis,MEM,1312611.00 
413,Chinanu Onuaku,HOU,1312611.00 
414,Damian Jones,GSW,1312611.00 
415,Wayne Selden,MEM,1312611.00 
416,Cheick Diallo,NOP,1312611.00 
417,Joel Bolomboy,UTA,1312611.00 
418,Davis Bertans,SAS,1312611.00 
419,Bryn Forbes,SAS,1312611.00 
420,Jake Layman,POR,1312611.00 
421,Tyler Ulis,PHO,1312611.00 
422,Marcus Georges-Hunt,MIN,1312611.00 
423,Malcolm Brogdon,MIL,1312611.00 
424,Rodney McGruder,MIA,1312611.00 
425,Andrew Harrison,MEM,1312611.00 
426,Ivica Zubac,LAL,1312611.00 
427,Patrick McCaw,GSW,1312611.00 
428,Dorian Finney-Smith,DAL,1312611.00 
429,Yogi Ferrell,DAL,1312611.00 
430,Treveon Graham,CHO,1312611.00 
431,David Nwaba,CHI,1312611.00 
432,Paul Zipser,CHI,1312611.00 
433,Isaiah Whitehead,BRK,1312611.00 
434,Sheldon Mac,ATL,1312611.00 
435,Okaro White,ATL,1312611.00 
436,Nicolas Brussino,ATL,1312611.00 
437,Diamond Stone,ATL,1312611.00 
438,Isaiah Taylor,ATL,1312611.00 
439,Kay Felder,CHI,1312611.00 
440,Fred VanVleet,TOR,1312611.00 
441,Derrick Jones,PHO,1312611.00 
442,Chasson Randle,NYK,1312611.00 
443,Stephen Zimmerman,LAL,1312611.00 
444,Semi Ojeleye,BOS,1291892.00 
445,Frank Mason,SAC,1184385.00 
446,Abdel Nader,BOS,1167333.00 
447,Damyean Dotson,NYK,1100000.00 
448,Paul Pierce,LAC,1096080.00 
449,Isaiah Canaan,PHO,1069308.00 
450,Wesley Iwundu,ORL,1050000.00 
451,Livio Jean-Charles,SAS,1035200.00 
452,Justin Hamilton,TOR,1000000.00 
453,Gerald Henderson,PHI,1000000.00 
454,Rade Zagorac,MEM,950000.00 
455,Ivan Rabb,MEM,950000.00 
456,Ike Anigbogu,IND,950000.00 
457,Gerald Green,HOU,947248.00 
458,Jason Thompson,GSW,945126.00 
459,Martell Webster,WAS,830000.00 
460,Frank Jackson,NOP,815615.00 
461,Jordan Bell,GSW,815615.00 
462,Dakari Johnson,OKC,815615.00 
463,Sterling Brown,MIL,815615.00 
464,Dillon Brooks,MEM,815615.00 
465,Jawun Evans,LAC,815615.00 
466,Sindarius Thornwell,LAC,815615.00 
467,Dwayne Bacon,CHO,815615.00 
468,Tyler Dorsey,ATL,815615.00 
469,Davon Reed,PHO,815615.00 
470,Royce O'Neale,UTA,815615.00 
471,Alfonzo McKinnie,TOR,815615.00 
472,Brandon Paul,SAS,815615.00 
473,Khem Birch,ORL,815615.00 
474,Thomas Bryant,LAL,815615.00 
475,Zhou Qi,HOU,815615.00 
476,Maxi Kleber,DAL,815615.00 
477,Daniel Theis,BOS,815615.00 
478,Sean Kilpatrick,MIL,789725.00 
479,Trey Burke,NYK,784160.00 
480,Alex Poythress,IND,778668.00 
481,Marco Belinelli,PHI,776217.00 
482,Joe Johnson,HOU,749905.00 
483,Dwight Buycks,DET,748160.00 
484,Tyler Cavanaugh,ATL,679919.00 
